State,nextUnsheltered,overall,unsheltered,population,unemployment
AK,194,1642,255,680300,6.3
AL,1544,5452,1656,4672840,4
AR,1235,3836,1551,2848650,5.3
AZ,5518,14646,6028,6167681,3.9
CA,89566,138986,90475,36250311,5.4
CO,7870,14225,7254,4803868,3.7
CT,607,4482,811,3527270,4.5
DC,378,5320,340,574404,5.5
DE,71,1061,207,871749,3.4
FL,29434,48069,27540,18367842,4
GA,10230,19639,11298,9349988,4.5
HI,3358,6070,3358,1315675,2.8
IA,259,2734,293,2999212,3.7
ID,214,1749,624,1505105,3.1
IL,3244,15487,3316,12695866,5
IN,1472,7358,1262,6379599,4.6
KS,238,2111,282,2783785,4.2
KY,1942,8061,2121,4256672,5.4
LA,1781,5494,1577,4375581,4.3
MA,1069,15127,1414,6431559,4.6
MD,3165,9628,3210,5653408,3.5
ME,44,2638,62,1327040,4.7
MI,16467,28295,16743,10001284,7
MN,1374,7323,1445,5207203,4.6
MO,2080,6247,1110,5887612,5.1
MS,755,1377,526,2928350,6.1
MT,410,1150,295,964706,3.6
NC,4386,11802,3923,9118037,4.7
ND,19,636,59,652822,3.1
NE,758,3531,524,1783440,3
NH,484,2248,975,1312540,3.5
NJ,1972,17314,2478,8677885,4.3
NM,1267,3015,1267,1990070,3.8
NV,3863,8642,3824,2601072,4.5
NY,4609,62601,5320,19132335,4.6
OH,2535,11264,1884,11500468,5.6
OK,1043,4221,1132,3634349,4.1
OR,10707,17590,9261,3722417,5.2
PA,1299,16220,1479,12563937,4.4
RI,54,1372,49,1057315,5.2
SC,2574,5660,2574,4444110,5.7
SD,41,579,41,791623,2.8
TN,4045,11210,4764,6175727,4.7
TX,16110,39788,16906,23831983,4.3
UT,256,3011,313,2597746,2.6
VA,1574,9746,2179,7751000,3
VT,258,1035,315,623481,4
WA,6498,23379,6522,6461587,4.7
WI,515,5648,563,5610775,4.9
WV,594,2409,262,1834052,4.6
WY,132,537,140,534876,2.8
