State,nextUnsheltered,overall,unsheltered,population,unemployment
AK,309,1845,294,739700,7
AL,1010,3793,1137,4874486,4.4
AR,1257,2467,1194,3001345,3.7
AZ,4066,8947,3166,7044008,4.9
CA,89543,131532,88896,39358497,4.8
CO,4329,10940,3859,5611885,2.7
CT,581,3388,416,3573297,4.7
DC,600,7473,897,694906,6.1
DE,93,994,58,956823,4.5
FL,13393,32190,15079,20963613,4.2
GA,3599,10174,3523,10410330,4.7
HI,3475,7220,3800,1424393,2.4
IA,241,2756,104,3141550,3.1
ID,723,2037,639,1717715,3.2
IL,1942,10798,2257,12778828,4.9
IN,579,5438,569,6658078,3.6
KS,357,2287,345,2908718,3.7
KY,868,4025,727,4452268,4.9
LA,1065,3305,975,4670560,5.1
MA,985,17565,991,6859789,3.8
MD,1764,7247,1736,6023868,4.3
ME,98,2280,180,1334612,3.4
MI,899,9051,1023,9973114,4.6
MN,1121,7668,1108,5566230,3.4
MO,1214,6037,1152,6106670,3.8
MS,621,1472,719,2988510,5.1
MT,373,1529,544,1052482,3.9
NC,2450,8962,2451,10268233,4.5
ND,48,1089,331,754942,2.7
NE,144,2501,120,1915947,2.9
NH,154,1456,174,1348787,2.7
NJ,1623,8536,1414,8885525,4.6
NM,796,2482,796,2091784,5.9
NV,4239,7833,4578,2969905,5.1
NY,4294,89503,4555,19589572,4.7
OH,1315,10095,1309,11659650,5
OK,1191,4199,1115,3931316,4.2
OR,8925,13953,7967,4143625,4.1
PA,1744,14138,1798,12787641,4.9
RI,51,1180,69,1055673,4.4
SC,1344,3916,1501,5021268,4.3
SD,285,943,171,872868,3.2
TN,2855,8309,2765,6708799,3.8
TX,10534,23548,8493,28295273,4.3
UT,420,2852,278,3101042,3.3
VA,915,6067,1008,8463587,3.7
VT,82,1225,134,624344,3
WA,10621,21112,8591,7423362,4.7
WI,382,5027,340,5790186,3.3
WV,183,1309,188,1817004,5.2
WY,199,873,363,578931,4.2
